filename	xmlid	author	title	firstedition	language	gender	size	reprints	timeslot	authorid	printedition	pubplace
POR0004_AlmGar_Viagens	POR0004	Almeida Garrett, João Baptista da Silva Leitão de	Viagens na minha terra: Edição para o ELTeC	1846	pt-PT	M	medium	high	T1	NA	NA	NA
POR0006_MMSAV_Lourenco	POR0006	Vasconcelos, M.M.S.A. e	O Cura de São Lourenço: Edição para o ELTeC	1855	pt-PT	F	medium	low	T1	NA	NA	NA
POR0010_CamCB_Perdicao	POR0010	Castelo Branco, Camilo	Amor de Perdição: Edição para o ELTeC	1862	pt-PT	M	medium	high	T2	NA	NA	NA
POR0001_JulDin_Morgadinha	POR0001	Dinis, Júlio	A Morgadinha dos Cannaviaes : Edição para o ELTeC	1868	pt-PT	M	long	high	T2	NA	1920	Lisboa
POR0007_JulDin_Inglesa	POR0007	Dinis, Júlio	Uma família ingleza: Edição para o ELTeC	1868	pt-PT	M	long	high	T2	NA	1875	Porto
POR0009_EcaQue_Amaro	POR0009	Eça de Queirós, José Maria de	O Crime do Padre Amaro: Edição para o ELTeC	1875	pt-PT	M	long	high	T2	NA	1889	Porto
POR0008_EcaQue_Basilio	POR0008	Eça de Queirós, José Maria de	O Primo Basílio : Edição para o ELTeC	1878	pt-PT	M	long	high	T2	NA	1878	Porto
POR0005_EcaQue_Maias	POR0005	Eça de Queirós, José Maria de	Os Maias: Edição para o ELTeC	1888	pt-PT	M	long	high	T3	NA	NA	NA
POR0002_AnaCO_Sacrificada	POR0002	Castro Osório, Ana de	Sacrificada: Edição para o ELTeC	1908	pt-PT	F	short	unspecified	T4	NA	NA	NA
